date,planned_cost,delta_only_emergency_cost,final_soc_kwh,zero_score,selected_score,accepted_search,evaluations
2025-02-06,57235.068611272494,75.84069939523816,2200.8528837037047,-83.3396003479776,-699.0245774726714,True,181
2025-02-07,22726.846543395623,0.0,1896.397971798939,-339.18112942293607,-831.396874925597,True,181
2025-02-08,20679.254317828323,0.0,1843.1366812962922,-485.3452993613471,-837.7254674040659,True,181
2025-02-09,53488.8471597694,0.0,1509.2359428306902,-14.129414236903168,-735.5235042482128,True,181
2025-02-10,54511.15889738132,0.0,1517.3820800000021,-200.70613182933846,-753.3141168887338,True,181
2025-02-11,53068.160924264375,164.52760306925092,1520.2362664814814,17.207331986060638,-754.2249706894348,True,181
2025-02-12,52749.71156453347,0.0,1539.8787200000008,4.187177235282796,-745.2660354262147,True,181
2025-02-13,52358.45307647426,0.0,1659.9019186772475,57.62388167180575,-719.3506071481379,True,181
2025-02-14,19362.823297805822,0.0,1779.987634867724,-564.4446280765047,-840.8308103899104,True,181
2025-02-15,19024.803693195303,0.0,1453.522438306879,-526.4742850925024,-819.8712324995315,True,181
2025-02-16,50512.8902994463,16.03210864166707,1554.886257063497,-5.763420794902599,-715.1714562570444,True,181
2025-02-17,49924.85043264374,0.0,1620.6784510052937,-72.38919860144973,-722.8686335196815,True,141
2025-02-18,49741.08155848502,0.0,1874.4668698941807,-78.43971494527133,-709.5182851940282,True,181
2025-02-19,49052.661062946165,171.60388708333323,1233.2995339418007,-4.101766072159757,-682.7129634030713,True,181
2025-02-20,49000.48047168567,169.68356094404572,1657.4034786507943,-111.67730908875505,-693.4833652200184,True,181
2025-02-21,18682.078600399105,0.0,1715.3536892857153,-518.372774417397,-783.415000508255,True,181
2025-02-22,18608.1835786225,0.0,1875.1086908201048,-540.7180985585859,-787.5696596582706,True,181
2025-02-23,48238.26310104464,21.8596975714291,1561.0641829365081,-156.38569888582572,-679.8581629954435,True,181
2025-02-24,47835.614239933726,202.80156906428502,1803.1829868253967,-259.81827772454426,-696.6000516127377,True,181
2025-02-25,47777.22903054648,99.1014617857143,1495.7049184391547,-135.22841682675318,-682.0754985883756,True,181
2025-02-26,47642.93950347918,0.0,2132.6260724074086,-224.9863086760957,-676.548278899943,True,181
2025-02-27,46403.36894072486,0.0,1839.3884396296305,-195.62200874073574,-692.6974419465985,True,181
2025-02-28,18085.41472109473,0.0,1810.5703015079382,-544.8464898384958,-761.6523646364401,True,181
2025-03-01,18156.429838207652,0.0,1842.226145211643,-543.0963820612014,-757.9605641160169,True,181
2025-03-02,46146.744613024406,12043.443427784312,1518.443331111111,-93.20424667447102,-554.4584678889901,True,181
2025-03-03,46510.83852611463,8145.298828850067,1482.213391851852,446.64763126635324,-59.3329513877206,True,181
2025-03-04,47868.625071831935,0.0,1679.8540652380937,622.841432088074,48.26453247586631,True,181
2025-03-05,48410.3254513851,0.0,1655.5268128571447,602.6690268897403,8.397739034493664,True,181
2025-03-06,48321.48876648741,0.0,1642.7990558465629,711.8886316078141,38.06379338941754,True,181
2025-03-07,17921.958143670032,0.0,1992.729253068781,-551.3275129428059,-769.8804340795693,True,181
2025-03-08,16969.253745848902,0.0,2000.3648594179933,-524.4808695227223,-772.3216190887978,True,181
2025-03-09,45789.90285102933,0.0,1796.673065820106,760.1472330876344,57.01741434498308,True,181
2025-03-10,44955.02438614647,0.0,1759.1460652380945,781.5584015918582,165.70484758509645,True,181
2025-03-11,44541.575872063695,0.0,2008.9075348677206,598.099411375811,97.40275213530688,True,181
