seconds,scenario_count,binary_cells,separation_rounds,solver_status,relative_gap,relaxed_objective,direction_feasible_objective,date,scenario_expected_emergency_cost,scenario_mean_final_soc,max_direction_violation_kwh,method
0.4979426999998395,21,0,0,0,0.0023926821544737,44182.98759225861,44288.95698928714,2025-08-18,666.0123177289194,4103.760545752048,1.1368683772161605e-13,fixed_direction_LP_with_global_relaxation_bound
0.5251609999977518,21,0,0,0,0.0005668807908571,43829.85451533033,43854.71491080178,2025-08-19,660.7061470784828,4059.0838178123377,1.1368683772161605e-13,fixed_direction_LP_with_global_relaxation_bound
0.5145535999981803,21,0,0,0,0.0007312833157488,43435.27995426021,43467.06669491874,2025-08-20,640.7818949097446,4056.426759390864,1.1368683772161605e-13,fixed_direction_LP_with_global_relaxation_bound
0.5310374999971827,21,0,0,0,0.0055521812684431,44650.97756871369,44900.27201795981,2025-08-21,1220.33436495175,4045.356419646761,1.1368683772161605e-13,fixed_direction_LP_with_global_relaxation_bound
0.5645524999999907,21,0,0,0,0.00546891833105,44382.73835164307,44626.79866893972,2025-08-22,1236.365914477041,4044.483321943688,1.1368683772161605e-13,fixed_direction_LP_with_global_relaxation_bound
0.4920548000009148,21,0,0,0,0.0054740396993451,40979.98493245991,41205.545725595,2025-08-23,1172.7087203675178,4024.710821635498,1.1368683772161605e-13,fixed_direction_LP_with_global_relaxation_bound
0.5020069000020158,21,0,0,0,0.0052535822227063,41379.75528754921,41598.29535250804,2025-08-24,1206.9723997802994,4014.7031910534142,5.684341886080803e-14,fixed_direction_LP_with_global_relaxation_bound
0.5565328000011505,21,0,0,0,0.0052703013684051,45557.87943084152,45799.25530876725,2025-08-25,1261.3612681301506,3774.651020209813,1.1368683772161605e-13,fixed_direction_LP_with_global_relaxation_bound
0.4916306000013719,21,0,0,0,0.0063666230113977,46525.89799844716,46824.00881042551,2025-08-26,1463.1414507540242,3849.907920331083,1.1368683772161605e-13,fixed_direction_LP_with_global_relaxation_bound
0.4761540000035893,21,0,0,0,0.0065614086045709,46389.07386699719,46695.46187232065,2025-08-27,1509.7852733872246,3834.16821028425,1.1368683772161605e-13,fixed_direction_LP_with_global_relaxation_bound
0.5071317000038107,21,0,0,0,0.0059358646033298,46365.76604100681,46642.630379683775,2025-08-28,1513.5329742213307,3848.6161557440873,1.1368683772161605e-13,fixed_direction_LP_with_global_relaxation_bound
