date,same_plan_initial_soc_kwh,settlement_cost,ldr_emergency_cost,beta1_emergency_cost,beta0_emergency_cost,ldr_total_cost,beta1_total_cost,beta0_total_cost
2025-04-06,1406.8116610293218,38646.00047677811,0.0,8.784940981959393,0.0,38646.00047677811,38654.78541776007,38646.00047677811
2025-04-07,1642.105130740742,35965.11316641998,0.0,1870.6285485167468,0.0,35965.11316641998,37835.741714936725,35965.11316641998
2025-04-08,1491.0929879940081,39193.22849242829,38.20465115065494,1902.0571536953453,38.20465115065494,39231.43314357894,41095.28564612363,39231.43314357894
2025-04-09,1341.1631385185183,40316.83226124431,0.0,1158.7026566476309,0.0,40316.83226124431,41475.53491789194,40316.83226124431
2025-04-10,1454.3627421170877,38704.08455233525,0.0,2353.176769292427,0.0,38704.08455233525,41057.26132162767,38704.08455233525
2025-04-11,1697.80570395464,13599.940067970405,443.8531571831247,4718.0814160522605,443.8531571831247,14043.79322515353,18318.021484022665,14043.79322515353
2025-04-12,1303.9585298148145,14837.222740289708,0.0,473.96113497214503,0.0,14837.222740289708,15311.183875261853,14837.222740289708
2025-04-13,1778.9216152524393,36248.494887724395,0.0,965.8217796187189,0.0,36248.494887724395,37214.31666734311,36248.494887724395
2025-04-14,1650.657844372333,36486.34338125868,1194.8849069596345,2444.19800035724,1194.8849069596345,37681.22828821831,38930.54138161592,37681.22828821831
2025-04-15,1744.6452275925926,34336.40197341694,1392.938550752369,3091.991949640492,1392.938550752369,35729.34052416931,37428.39392305743,35729.34052416931
2025-04-16,1819.992792777777,37217.68812554617,0.0,2173.8240397336544,0.0,37217.68812554617,39391.512165279826,37217.68812554617
2025-04-17,1837.6396965924469,36311.43245939539,292.69502545405754,1147.620270341676,292.69502545405754,36604.12748484945,37459.05272973707,36604.12748484945
2025-04-18,1729.8601631481476,13856.427510420863,0.0,606.6760579793568,0.0,13856.427510420863,14463.10356840022,13856.427510420863
2025-04-19,1893.7082129647663,13346.108171554875,0.0,499.79265325618655,0.0,13346.108171554875,13845.900824811062,13346.108171554875
2025-04-20,1914.8951240775796,35331.93888714194,0.0,1699.462560475538,0.0,35331.93888714194,37031.40144761748,35331.93888714194
2025-04-21,1917.444064599486,36067.277813755725,0.0,3628.5837634713844,0.0,36067.277813755725,39695.86157722711,36067.277813755725
2025-04-22,1443.9844085774125,34518.18596788195,0.0,550.1274707007493,0.0,34518.18596788195,35068.3134385827,34518.18596788195
2025-04-23,1770.004924094435,34322.00757350838,0.0,246.83870591321894,0.0,34322.00757350838,34568.8462794216,34322.00757350838
2025-04-24,2048.411105957898,33816.22662976543,0.0,1016.052277802248,0.0,33816.22662976543,34832.27890756768,33816.22662976543
2025-04-25,1821.0852241883547,13012.883011349117,23.787513478503115,1336.6081224393683,23.787513478503115,13036.67052482762,14349.491133788484,13036.67052482762
2025-04-26,1286.8087198148146,13423.330026463042,0.0,886.4455942890469,0.0,13423.330026463042,14309.775620752089,13423.330026463042
2025-04-27,1383.2322624172657,33302.81380101991,1882.8771406485976,2833.97337665884,1244.7974713868862,35185.69094166851,36136.78717767875,34547.61127240679
2025-04-28,1529.322509444445,39295.42763692782,0.0,332.87282926317494,0.0,39295.42763692782,39628.300466190994,39295.42763692782
2025-04-29,1821.771669737181,34512.17390261591,13.72708295906143,860.7055876858934,13.72708295906143,34525.900985574975,35372.879490301806,34525.900985574975
2025-04-30,1912.5830925925932,32720.98851619353,561.0369776333334,1663.5779357764902,561.0369776333334,33282.02549382686,34384.56645197002,33282.02549382686
2025-05-01,1501.278084074074,34628.121909704336,11487.540023635876,12365.468768451734,11487.540023635876,46115.66193334021,46993.59067815607,46115.66193334021
2025-05-02,1210.8405,14713.910041181542,8538.677611084313,9799.476413737764,8150.125026919753,23252.587652265855,24513.386454919306,22864.035068101293
2025-05-03,1200.0,13944.36682169378,9218.952577893357,9989.46843549932,8916.836699859254,23163.319399587137,23933.835257193103,22861.203521553034
2025-05-04,1216.2882212962963,35341.427995853286,10991.282415688538,14642.7449199531,11319.044263998336,46332.710411541826,49984.17291580638,46660.472259851624
2025-05-05,1257.9569999999999,36998.49672917433,9021.48011661084,11256.468836873182,9381.2121133342,46019.97684578517,48254.96556604751,46379.70884250853
2025-05-06,1230.6944999999998,34334.33995186717,11315.52434177982,11707.820131852346,9012.024798218728,45649.86429364699,46042.160083719515,43346.3647500859
2025-05-07,1200.0,36499.6524854872,4843.654464683477,4843.654464683477,4975.551137335267,41343.30695017068,41343.30695017068,41475.20362282246
2025-05-08,1353.0848999999998,40232.729565649795,556.4308677666662,3091.6421656291213,556.4308677666662,40789.16043341646,43324.371731278916,40789.16043341646
2025-05-09,2318.5252658979634,16262.998483130374,418.9806445995831,504.643216269582,0.0,16681.979127729956,16767.641699399956,16262.998483130374
2025-05-10,2770.7625984802567,16192.757626583036,261.8806619840713,1481.0640935294264,0.0,16454.63828856711,17673.82172011246,16192.757626583036
2025-05-11,2685.0423857774535,38771.732263345795,277.3685107416656,2689.15866718895,277.3685107416656,39049.10077408746,41460.89093053475,39049.10077408746
2025-05-12,2354.6791349758564,36154.558202071916,0.0,1247.725815339992,0.0,36154.558202071916,37402.284017411905,36154.558202071916
2025-05-13,2942.487026296298,39186.456919031145,0.0,1042.5424501938817,0.0,39186.456919031145,40228.99936922503,39186.456919031145
2025-05-14,2941.8908394436917,39145.54792283916,0.0,581.1730511028013,0.0,39145.54792283916,39726.72097394196,39145.54792283916
2025-05-15,2585.1294800657415,39227.179346041296,0.0,993.0185229541521,0.0,39227.179346041296,40220.19786899545,39227.179346041296
2025-05-16,2954.275705527687,15715.831996741092,0.0,158.85672419418555,0.0,15715.831996741092,15874.688720935277,15715.831996741092
2025-05-17,2063.778598965952,16252.61275919661,0.0,360.25172950083487,0.0,16252.61275919661,16612.864488697447,16252.61275919661
2025-05-18,2274.6127257997027,39927.56883965658,0.0,765.2312230071607,0.0,39927.56883965658,40692.800062663744,39927.56883965658
2025-05-19,2610.7336264534943,36864.955739532204,82.6533905833332,92.70580346976476,82.6533905833332,36947.60913011554,36957.66154300197,36947.60913011554
2025-05-20,2275.9518788483033,37751.59216495309,0.0,961.0584502908786,0.0,37751.59216495309,38712.65061524396,37751.59216495309
2025-05-21,2582.8664400000007,36763.92930030931,0.0,140.59792727521707,0.0,36763.92930030931,36904.52722758453,36763.92930030931
2025-05-22,2660.510076666668,36456.58780791175,17.218999999999575,1903.7481891387556,17.218999999999575,36473.806807911744,38360.335997050504,36473.806807911744
2025-05-23,2511.2247170370374,15493.988006126801,0.0,563.7776916566725,0.0,15493.988006126801,16057.765697783474,15493.988006126801
2025-05-24,3134.7940939821756,15718.656569032373,0.0,435.41629763925164,0.0,15718.656569032373,16154.072866671624,15718.656569032373
2025-05-25,2708.471306535511,36382.070137777344,84.05219626666586,787.4982482816567,84.05219626666586,36466.12233404401,37169.568386059,36466.12233404401
2025-05-26,2137.0588887244203,38626.76864792816,0.0,131.7022619623621,0.0,38626.76864792816,38758.47090989052,38626.76864792816
2025-05-27,2755.259756823328,35202.934652222226,0.0,2578.3741119539272,0.0,35202.934652222226,37781.30876417615,35202.934652222226
2025-05-28,2083.454299126096,37306.051444844314,0.0,11.035190025000253,0.0,37306.051444844314,37317.086634869316,37306.051444844314
2025-05-29,2136.1671842500655,37378.34931679631,1287.752625150164,2947.873319234058,1287.752625150164,38666.10194194647,40326.22263603037,38666.10194194647
2025-05-30,1680.8202299999998,15251.917227092903,0.0,651.3823035995075,0.0,15251.917227092903,15903.299530692411,15251.917227092903
2025-05-31,1975.877898208802,15894.274014307703,0.0,780.5392075110393,0.0,15894.274014307703,16674.813221818742,15894.274014307703
2025-06-01,1933.5642464462346,44947.71137462872,27721.400229493098,35536.30921250353,26643.946230159763,72669.11160412182,80484.02058713225,71591.65760478849
